Configuration,MIS Nodes,Total Overhead,Overhead/Node,Convergence Time,Avg Cluster Size
FastMIS-Complete,1.00 (1.00-1.00),95.00 (95.00-95.00),15.83 (15.83-15.83),0.17 (0.17-0.18),6.00 (6.00-6.00)
FastMIS-RandomGraph,6.30 (6.13-6.47),16397.22 (16317.82-16476.62),163.97 (163.18-164.77),0.20 (0.20-0.20),49.53 (49.16-49.90)
FastMIS-Grid-Small,3.91 (3.73-4.09),84.79 (84.19-85.39),9.42 (9.35-9.49),0.17 (0.17-0.17),3.55 (3.50-3.60)
